"","X","region","income","happy","age","finrela","marital","degree","health","wrkstat","partyid","polviews","sex","year"
"52272",52272,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",58,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","UNEMPL LAID OFF","STRONG REPUBLICAN","CONSERVATIVE","FEMALE",2010
"29870",29870,"MOUNTAIN","$25000 OR MORE","PRETTY HAPPY",73,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","GOOD","RETIRED","NOT STR REPUBLICAN","MODERATE","FEMALE",1994
"15116",15116,"W. NOR. CENTRAL","$20000 - 24999","VERY HAPPY",32,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","NOT STR DEMOCRAT","LIBERAL","FEMALE",1984
"16924",16924,"MOUNTAIN","REFUSED","PRETTY HAPPY",54,"AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR REP","MODERATE","FEMALE",1985
"36147",36147,"MOUNTAIN","$25000 OR MORE","PRETTY HAPPY",28,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR REP","SLIGHTLY LIBERAL","MALE",1998
"9864",9864,"MIDDLE ATLANTIC","$3000 TO 3999","PRETTY HAPPY",33,"FAR BELOW AVERAGE","MARRIED","LT HIGH SCHOOL","EXCELLENT","UNEMPL LAID OFF","INDEPENDENT","CONSERVATIVE","MALE",1980
"39763",39763,"MIDDLE ATLANTIC","$15000 - 19999",NA,26,NA,"MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT",NA,"FEMALE",2002
"33386",33386,"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",47,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","IND NEAR REP","MODERATE","FEMALE",1996
"33242",33242,"E. NOR. CENTRAL","$15000 - 19999","PRETTY HAPPY",24,"AVERAGE","DIVORCED","HIGH SCHOOL","EXCELLENT","WORKING PARTTIME","INDEPENDENT","MODERATE","MALE",1996
"38579",38579,"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",29,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","MODERATE","FEMALE",2000
"38245",38245,"MOUNTAIN","$8000 TO 9999","PRETTY HAPPY",36,"BELOW AVERAGE","SEPARATED","HIGH SCHOOL","POOR","WORKING FULLTIME","INDEPENDENT","EXTREMELY LIBERAL","FEMALE",2000
"50302",50302,"E. NOR. CENTRAL","REFUSED","VERY HAPPY",64,"ABOVE AVERAGE","MARRIED","JUNIOR COLLEGE","GOOD","RETIRED","NOT STR REPUBLICAN","CONSERVATIVE","FEMALE",2008
"34982",34982,"MOUNTAIN","$4000 TO 4999","PRETTY HAPPY",31,"FAR BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING PARTTIME","INDEPENDENT",NA,"FEMALE",1998
"8139",8139,"SOUTH ATLANTIC","$15000 - 19999","VERY HAPPY",55,"BELOW AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","MALE",1978
"24076",24076,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",42,"BELOW AVERAGE","DIVORCED","GRADUATE","GOOD","WORKING FULLTIME","IND NEAR REP","CONSERVATIVE","MALE",1990
"3011",3011,"NEW ENGLAND","$15000 - 19999","PRETTY HAPPY",38,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",1975
"31205",31205,"PACIFIC","$10000 - 14999","PRETTY HAPPY",25,"FAR BELOW AVERAGE","NEVER MARRIED","JUNIOR COLLEGE","GOOD","TEMP NOT WORKING","IND NEAR DEM","LIBERAL","MALE",1996
"42985",42985,"PACIFIC","$25000 OR MORE",NA,28,NA,"NEVER MARRIED","JUNIOR COLLEGE",NA,"WORKING FULLTIME","INDEPENDENT",NA,"FEMALE",2004
"30160",30160,"E. NOR. CENTRAL","$10000 - 14999","PRETTY HAPPY",59,"ABOVE AVERAGE","DIVORCED","LT HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","MALE",1994
"51992",51992,"NOT ASSIGNED","DK","PRETTY HAPPY",29,"BELOW AVERAGE","MARRIED","LT HIGH SCHOOL","IAP","UNEMPL LAID OFF","INDEPENDENT","MODERATE","FEMALE",2010
"4443",4443,"MIDDLE ATLANTIC","$10000 - 14999","PRETTY HAPPY",38,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",1975
"15000",15000,"MOUNTAIN","$10000 - 14999","PRETTY HAPPY",68,"BELOW AVERAGE","WIDOWED","LT HIGH SCHOOL","FAIR","WORKING PARTTIME","STRONG DEMOCRAT","MODERATE","FEMALE",1984
"21639",21639,"E. SOU. CENTRAL","$10000 - 14999","PRETTY HAPPY",84,"AVERAGE","WIDOWED","LT HIGH SCHOOL","POOR","OTHER","IND NEAR DEM","MODERATE","FEMALE",1988
"46452",46452,"PACIFIC","$25000 OR MORE","VERY HAPPY",NA,"ABOVE AVERAGE",NA,"HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG REPUBLICAN","CONSERVATIVE","MALE",2006
"50446",50446,"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",31,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2008
"45188",45188,"PACIFIC","$25000 OR MORE","PRETTY HAPPY",66,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","MALE",2006
"15620",15620,"E. NOR. CENTRAL","$15000 - 19999","VERY HAPPY",83,"AVERAGE","WIDOWED","HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","STRONG REPUBLICAN","MODERATE","FEMALE",1985
"38325",38325,"MIDDLE ATLANTIC","$10000 - 14999","PRETTY HAPPY",65,"AVERAGE","MARRIED","GRADUATE","GOOD","KEEPING HOUSE","IND NEAR DEM","MODERATE","FEMALE",2000
"43490",43490,"W. NOR. CENTRAL","$25000 OR MORE",NA,45,NA,"MARRIED","GRADUATE",NA,"WORKING FULLTIME","IND NEAR DEM",NA,"FEMALE",2004
"16537",16537,"MOUNTAIN","LT $1000","VERY HAPPY",21,"ABOVE AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",1985
"11547",11547,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",24,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","SCHOOL","NOT STR REPUBLICAN","LIBERAL","MALE",1982
"41687",41687,"PACIFIC","$10000 - 14999","PRETTY HAPPY",32,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","UNEMPL LAID OFF","INDEPENDENT","MODERATE","FEMALE",2002
"6524",6524,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",34,"FAR BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","MALE",1977
"86",86,"NEW ENGLAND","$6000 TO 6999","NOT TOO HAPPY",56,NA,"SEPARATED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG REPUBLICAN",NA,"MALE",1973
"20971",20971,"E. SOU. CENTRAL","$6000 TO 6999","NOT TOO HAPPY",23,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","UNEMPL LAID OFF","NOT STR DEMOCRAT","LIBERAL","FEMALE",1988
"12806",12806,"MOUNTAIN","REFUSED","PRETTY HAPPY",NA,NA,"DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG REPUBLICAN",NA,"FEMALE",1983
"31947",31947,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",46,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",1996
"23027",23027,"W. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",46,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR DEM","SLGHTLY CONSERVATIVE","FEMALE",1989
"25538",25538,"E. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",81,"FAR ABOVE AVERAGE","MARRIED","LT HIGH SCHOOL","FAIR","KEEPING HOUSE","STRONG REPUBLICAN","MODERATE","FEMALE",1991
"7035",7035,"SOUTH ATLANTIC","$3000 TO 3999","PRETTY HAPPY",58,"BELOW AVERAGE","DIVORCED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","MALE",1977
"44831",44831,"SOUTH ATLANTIC","REFUSED",NA,50,NA,"MARRIED","HIGH SCHOOL",NA,"KEEPING HOUSE",NA,NA,"FEMALE",2004
"20577",20577,"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",32,"AVERAGE","NEVER MARRIED","LT HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR REP","SLIGHTLY LIBERAL","MALE",1988
"42025",42025,"E. SOU. CENTRAL","$10000 - 14999","PRETTY HAPPY",37,"FAR BELOW AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","OTHER","NOT STR DEMOCRAT","MODERATE","FEMALE",2002
"27612",27612,"E. NOR. CENTRAL","$15000 - 19999","PRETTY HAPPY",36,"AVERAGE","DIVORCED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","SLIGHTLY LIBERAL","MALE",1993
"24542",24542,"E. SOU. CENTRAL","$10000 - 14999","PRETTY HAPPY",58,"AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","MODERATE","MALE",1990
"45509",45509,"PACIFIC","$25000 OR MORE",NA,42,NA,"MARRIED","JUNIOR COLLEGE","EXCELLENT","KEEPING HOUSE","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",2006
"24485",24485,"SOUTH ATLANTIC","REFUSED","PRETTY HAPPY",67,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","RETIRED","STRONG DEMOCRAT","LIBERAL","FEMALE",1990
"51282",51282,"E. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",34,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2008
"16565",16565,"MIDDLE ATLANTIC","$15000 - 19999","PRETTY HAPPY",33,"AVERAGE","NEVER MARRIED","BACHELOR","FAIR","WORKING FULLTIME","INDEPENDENT","SLGHTLY CONSERVATIVE","MALE",1985
"31249",31249,"PACIFIC","REFUSED","PRETTY HAPPY",78,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL",NA,"RETIRED","STRONG DEMOCRAT","MODERATE","MALE",1996
"20022",20022,"W. NOR. CENTRAL","LT $1000","PRETTY HAPPY",19,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING PARTTIME","IND NEAR DEM","MODERATE","MALE",1987
"17110",17110,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",38,"ABOVE AVERAGE","NEVER MARRIED","BACHELOR",NA,"WORKING FULLTIME","STRONG REPUBLICAN","CONSERVATIVE","MALE",1986
"46377",46377,"SOUTH ATLANTIC","REFUSED","PRETTY HAPPY",22,NA,"NEVER MARRIED","HIGH SCHOOL",NA,"WORKING PARTTIME","INDEPENDENT","MODERATE","MALE",2006
"33629",33629,"PACIFIC","$15000 - 19999","PRETTY HAPPY",37,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR DEM","EXTREMELY LIBERAL","MALE",1996
"3264",3264,"PACIFIC","$1000 TO 2999","NOT TOO HAPPY",24,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","FEMALE",1975
"51674",51674,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",36,"AVERAGE","MARRIED","JUNIOR COLLEGE","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2010
"17692",17692,"SOUTH ATLANTIC","$7000 TO 7999","PRETTY HAPPY",44,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","FEMALE",1986
"10843",10843,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",34,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",1982
"51826",51826,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",67,"ABOVE AVERAGE","MARRIED","BACHELOR","GOOD","WORKING FULLTIME","STRONG REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",2010
"35513",35513,"PACIFIC","$25000 OR MORE","PRETTY HAPPY",46,"AVERAGE","NEVER MARRIED","BACHELOR","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","MALE",1998
"9323",9323,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",58,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",1980
"52672",52672,"NOT ASSIGNED","$25000 OR MORE","PRETTY HAPPY",62,"ABOVE AVERAGE","MARRIED","GRADUATE","IAP","WORKING FULLTIME","IND NEAR DEM","EXTREMELY LIBERAL","MALE",2010
"2521",2521,"E. NOR. CENTRAL","$4000 TO 4999","PRETTY HAPPY",77,"AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","RETIRED","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","MALE",1974
"10688",10688,"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",30,"ABOVE AVERAGE","NEVER MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","MALE",1982
"8679",8679,"MOUNTAIN","$15000 - 19999","PRETTY HAPPY",47,"AVERAGE","MARRIED","LT HIGH SCHOOL",NA,"OTHER","IND NEAR DEM","MODERATE","FEMALE",1978
"14139",14139,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",26,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","KEEPING HOUSE","INDEPENDENT","MODERATE","FEMALE",1984
"10298",10298,"PACIFIC","$7000 TO 7999","VERY HAPPY",77,"AVERAGE","WIDOWED","HIGH SCHOOL","GOOD","KEEPING HOUSE","NOT STR REPUBLICAN","CONSERVATIVE","FEMALE",1980
"21832",21832,"PACIFIC","$25000 OR MORE","PRETTY HAPPY",19,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","SLGHTLY CONSERVATIVE","FEMALE",1989
"26589",26589,"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",68,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"RETIRED","STRONG DEMOCRAT","MODERATE","FEMALE",1993
"22302",22302,"W. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",39,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","KEEPING HOUSE","INDEPENDENT","MODERATE","FEMALE",1989
"21115",21115,"E. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",46,"AVERAGE","MARRIED","BACHELOR",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",1988
"1241",1241,"SOUTH ATLANTIC","$10000 - 14999","PRETTY HAPPY",36,"ABOVE AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","KEEPING HOUSE","IND NEAR DEM",NA,"FEMALE",1973
"43170",43170,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",23,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","SCHOOL","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",2004
"7593",7593,"MIDDLE ATLANTIC","$20000 - 24999","PRETTY HAPPY",32,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL",NA,"KEEPING HOUSE","IND NEAR REP","SLGHTLY CONSERVATIVE","FEMALE",1978
"18914",18914,"NEW ENGLAND","$10000 - 14999","VERY HAPPY",64,"AVERAGE","WIDOWED","LT HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","SLGHTLY CONSERVATIVE","MALE",1987
"2527",2527,"E. NOR. CENTRAL","$8000 TO 9999","PRETTY HAPPY",24,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","NOT STR DEMOCRAT","MODERATE","FEMALE",1974
"26557",26557,"E. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",35,"AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","CONSERVATIVE","MALE",1993
"27772",27772,"W. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",53,"AVERAGE","NEVER MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","CONSERVATIVE","MALE",1993
"2004",2004,"W. NOR. CENTRAL","$8000 TO 9999","PRETTY HAPPY",22,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR DEM","LIBERAL","MALE",1974
"23413",23413,"MIDDLE ATLANTIC","REFUSED","PRETTY HAPPY",44,"ABOVE AVERAGE","MARRIED","GRADUATE","GOOD","WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","MALE",1990
"33841",33841,"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",35,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING PARTTIME","IND NEAR REP","CONSERVATIVE","FEMALE",1998
"29267",29267,"W. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",33,"AVERAGE","MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","SLIGHTLY LIBERAL","MALE",1994
"22035",22035,"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",54,"FAR ABOVE AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","INDEPENDENT","MODERATE","FEMALE",1989
"21599",21599,"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",79,"AVERAGE","WIDOWED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","MODERATE","FEMALE",1988
"9101",9101,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",44,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","FAIR","WORKING PARTTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",1980
"46595",46595,"E. NOR. CENTRAL","$25000 OR MORE","NOT TOO HAPPY",71,"ABOVE AVERAGE","WIDOWED","HIGH SCHOOL","FAIR","KEEPING HOUSE","STRONG DEMOCRAT","LIBERAL","FEMALE",2006
"28588",28588,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",43,"AVERAGE","MARRIED","BACHELOR",NA,"WORKING PARTTIME","STRONG REPUBLICAN","CONSERVATIVE","FEMALE",1994
"6611",6611,"SOUTH ATLANTIC","$3000 TO 3999","PRETTY HAPPY",53,"BELOW AVERAGE","SEPARATED","LT HIGH SCHOOL","GOOD","WORKING PARTTIME","NOT STR DEMOCRAT","MODERATE","MALE",1977
"23655",23655,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",45,"ABOVE AVERAGE","DIVORCED","BACHELOR",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",1990
"47306",47306,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",32,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","FEMALE",2006
"11881",11881,"E. SOU. CENTRAL",NA,"VERY HAPPY",60,"AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","UNEMPL LAID OFF","NOT STR DEMOCRAT",NA,"MALE",1982
"13116",13116,"W. NOR. CENTRAL","$20000 - 24999","PRETTY HAPPY",39,"AVERAGE","MARRIED","BACHELOR",NA,"WORKING PARTTIME","STRONG REPUBLICAN",NA,"FEMALE",1983
"20566",20566,"E. NOR. CENTRAL","$6000 TO 6999","PRETTY HAPPY",64,"BELOW AVERAGE","WIDOWED","HIGH SCHOOL","POOR","WORKING PARTTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",1988
"40209",40209,"W. NOR. CENTRAL","REFUSED",NA,38,NA,"DIVORCED","BACHELOR",NA,"WORKING FULLTIME","NOT STR REPUBLICAN",NA,"MALE",2002
"29949",29949,"MOUNTAIN","$25000 OR MORE","PRETTY HAPPY",34,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",1994
"16612",16612,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",35,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","FEMALE",1985
"42390",42390,"E. NOR. CENTRAL","$25000 OR MORE",NA,46,NA,"MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR REPUBLICAN",NA,"MALE",2004
"1651",1651,"PACIFIC","$25000 OR MORE","PRETTY HAPPY",54,"ABOVE AVERAGE","MARRIED","GRADUATE","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","MALE",1974
"5203",5203,"SOUTH ATLANTIC","$7000 TO 7999","VERY HAPPY",57,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","KEEPING HOUSE","NOT STR DEMOCRAT","MODERATE","FEMALE",1976
"14581",14581,"E. NOR. CENTRAL","$20000 - 24999","PRETTY HAPPY",35,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING PARTTIME","IND NEAR DEM","SLIGHTLY LIBERAL","FEMALE",1984
"816",816,"E. SOU. CENTRAL","$10000 - 14999","PRETTY HAPPY",49,"ABOVE AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT",NA,"FEMALE",1973
"8408",8408,"E. NOR. CENTRAL","$15000 - 19999","VERY HAPPY",40,"ABOVE AVERAGE","DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR REP","MODERATE","MALE",1978
"811",811,"MIDDLE ATLANTIC","$5000 TO 5999","PRETTY HAPPY",66,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","KEEPING HOUSE","STRONG DEMOCRAT",NA,"FEMALE",1973
"31211",31211,"PACIFIC","$25000 OR MORE","VERY HAPPY",33,"AVERAGE","DIVORCED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","SLIGHTLY LIBERAL","FEMALE",1996
"30567",30567,"W. SOU. CENTRAL","$20000 - 24999","VERY HAPPY",80,"AVERAGE","WIDOWED","LT HIGH SCHOOL","EXCELLENT","WORKING PARTTIME","STRONG DEMOCRAT","SLIGHTLY LIBERAL","MALE",1994
"546",546,"E. NOR. CENTRAL","$5000 TO 5999","PRETTY HAPPY",21,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","KEEPING HOUSE","NOT STR REPUBLICAN",NA,"FEMALE",1973
"15288",15288,"W. SOU. CENTRAL","$15000 - 19999","VERY HAPPY",71,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","KEEPING HOUSE","INDEPENDENT","CONSERVATIVE","FEMALE",1984
"9934",9934,"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",41,"FAR ABOVE AVERAGE","MARRIED","GRADUATE","GOOD","WORKING FULLTIME","INDEPENDENT","SLIGHTLY LIBERAL","FEMALE",1980
"24550",24550,"E. SOU. CENTRAL","$4000 TO 4999","VERY HAPPY",68,"AVERAGE","WIDOWED","LT HIGH SCHOOL",NA,"KEEPING HOUSE","NOT STR DEMOCRAT","MODERATE","FEMALE",1990
"20203",20203,"SOUTH ATLANTIC","$4000 TO 4999","PRETTY HAPPY",86,"ABOVE AVERAGE","WIDOWED","LT HIGH SCHOOL","FAIR","SCHOOL","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","MALE",1987
"20005",20005,"MIDDLE ATLANTIC","$7000 TO 7999","PRETTY HAPPY",21,"FAR BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","NOT STR DEMOCRAT","MODERATE","MALE",1987
"40140",40140,"SOUTH ATLANTIC","$25000 OR MORE",NA,31,NA,"MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","INDEPENDENT",NA,"MALE",2002
"39094",39094,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",48,"AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","TEMP NOT WORKING","IND NEAR REP","CONSERVATIVE","FEMALE",2000
"42245",42245,"MIDDLE ATLANTIC","$25000 OR MORE",NA,58,NA,"MARRIED","HIGH SCHOOL",NA,"TEMP NOT WORKING","STRONG REPUBLICAN",NA,"MALE",2004
"38863",38863,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",20,"BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","GOOD","WORKING PARTTIME","IND NEAR REP","MODERATE","MALE",2000
"19680",19680,"E. SOU. CENTRAL","$1000 TO 2999","NOT TOO HAPPY",20,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","OTHER","STRONG DEMOCRAT","MODERATE","FEMALE",1987
"33288",33288,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",64,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","RETIRED","IND NEAR REP","CONSERVATIVE","MALE",1996
"17859",17859,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",52,NA,"WIDOWED","HIGH SCHOOL",NA,"KEEPING HOUSE","IND NEAR REP","MODERATE","FEMALE",1986
"22340",22340,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",40,"BELOW AVERAGE","MARRIED","JUNIOR COLLEGE","GOOD","WORKING PARTTIME","INDEPENDENT","SLGHTLY CONSERVATIVE","FEMALE",1989
"14846",14846,"SOUTH ATLANTIC","$10000 - 14999","VERY HAPPY",27,"AVERAGE","MARRIED","BACHELOR","GOOD","SCHOOL","IND NEAR REP","CONSERVATIVE","MALE",1984
"48623",48623,"SOUTH ATLANTIC","$25000 OR MORE",NA,61,NA,"MARRIED","BACHELOR","FAIR","WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",2006
"11162",11162,"E. NOR. CENTRAL","$8000 TO 9999","VERY HAPPY",21,"BELOW AVERAGE","SEPARATED","LT HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG DEMOCRAT","EXTRMLY CONSERVATIVE","MALE",1982
